table_name,c001_count,public_count,schema,query,Required(Yes/No)
salestax,357,191,c001,select * from c001.salestax,Y
salutation,0,0,public,select * from public.salutation,
samples,2,2,public,select * from public.samples,N
scheduledtask,46,67,public,select * from public.scheduledtask,N
scheduledtaskemailrecipient,0,0,public,select * from public.scheduledtaskemailrecipient,
scheduledtasknotificationrecipient,0,0,public,select * from public.scheduledtasknotificationrecipient,
scheduledtaskoutputlocation,0,0,public,select * from public.scheduledtaskoutputlocation,
scheduledtaskparameter,0,0,public,select * from public.scheduledtaskparameter,
scheduledtaskresult,6347,6413,public,select * from public.scheduledtaskresult,N
schedulestatus,9,9,public,select * from public.schedulestatus,N
schedulingflag,0,399311,public,select * from public.schedulingflag,
securityfilter,0,4,public,select * from public.securityfilter,
securityfilteritem,0,2,public,select * from public.securityfilteritem,
securityfilterrelationtype,39,39,public,select * from public.securityfilterrelationtype,N
securityfiltertype,9,9,public,select * from public.securityfiltertype,N
shipmenttype,14,13,c001,select * from c001.shipmenttype,Y
shippingappsettings,1,1,public,select * from public.shippingappsettings,N
shippingworkflow,0,12,public,select * from public.shippingworkflow,
shippingworkflowfinishingop,0,17,public,select * from public.shippingworkflowfinishingop,
shipprovider,8,9,public,select * from public.shipprovider,Y
shipratesheetentry,0,0,public,select * from public.shipratesheetentry,
shipvia,27,28,public,select * from public.shipvia,Y
shipzone,0,0,public,select * from public.shipzone,
shipzonepostalcode,0,0,public,select * from public.shipzonepostalcode,
shoppingcart,0,0,public,select * from public.shoppingcart,
shoppingcartextra,0,0,public,select * from public.shoppingcartextra,
shoppingcartextratemplate,0,0,public,select * from public.shoppingcartextratemplate,
size,0,3,public,select * from public.size,
sizeallowancetype,8,8,public,select * from public.sizeallowancetype,Y
skid,0,4,public,select * from public.skid,
sourcetype,4,2,c001,select * from c001.sourcetype,Y
speedfactor,3,3,public,select * from public.speedfactor,N
standardpapertype,18,17,c001,select * from c001.standardpapertype,Y
state,577,574,c001,select * from c001.state,Y
statustype,5,6,public,select * from public.statustype,Y
subjobtype,22,33,public,select * from public.subjobtype,Y
subnotecategory,21,21,public,select * from public.subnotecategory,Y
subproductgroup,29,0,c001,select * from c001.subproductgroup,
suggestedroll,0,0,public,select * from public.suggestedroll,
syauditlog,49611,5443249,public,select * from public.syauditlog,N
systemgroup,56,63,public,select * from public.systemgroup,N
systemoptions,1,1,public,select * from public.systemoptions,N
systemuser,50,101,public,select * from public.systemuser,N
tag,0,0,public,select * from public.tag,
tagcategory,0,0,public,select * from public.tagcategory,
taxablecode,2,2,public,select * from public.taxablecode,Y
taxcategory,3,3,public,select * from public.taxcategory,Y
taxreport,0,0,public,select * from public.taxreport,
taxreportcategory,0,0,public,select * from public.taxreportcategory,
taxreportmonth,0,0,public,select * from public.taxreportmonth,
taxreportperiod,0,0,public,select * from public.taxreportperiod,
taxreportperiodcategory,0,0,public,select * from public.taxreportperiodcategory,
taxreportperiodcategorysalestax,0,0,public,select * from public.taxreportperiodcategorysalestax,
taxreportperiodmonthmapping,0,0,public,select * from public.taxreportperiodmonthmapping,
terms,8,19,public,select * from public.terms,Y
termsdiscount,0,7,public,select * from public.termsdiscount,
threeknife,0,0,public,select * from public.threeknife,
topic,0,0,public,select * from public.topic,
topicquestion,0,0,public,select * from public.topicquestion,
topicquestionresponsehandler,0,0,public,select * from public.topicquestionresponsehandler,
twitteraccount,0,0,public,select * from public.twitteraccount,
udfmetadata,0,0,public,select * from public.udfmetadata,
udometadata,0,0,public,select * from public.udometadata,
uom,108,49,c001,select * from c001.uom,Y
uomdimension,6,6,public,select * from public.uomdimension,Y
uomrange,22,22,public,select * from public.uomrange,Y
uomsetup,1,1,public,select * from public.uomsetup,N
uomtype,6,6,public,select * from public.uomtype,Y
userdefinedcontext,0,0,public,select * from public.userdefinedcontext,
userdefinedform,82,186,public,select * from public.userdefinedform,N
userdefinedformextractedobject,0,0,public,select * from public.userdefinedformextractedobject,
userdefinedformrequiredobject,0,0,public,select * from public.userdefinedformrequiredobject,
userdefinedincludableform,0,0,public,select * from public.userdefinedincludableform,
userdefinedinquiry,82,186,public,select * from public.userdefinedinquiry,N
userdefinedinquirycategory,5,10,public,select * from public.userdefinedinquirycategory,N
userdefinedinquirycontextmenuobject,0,4,public,select * from public.userdefinedinquirycontextmenuobject,
userdefinedinquiryrecipient,0,0,public,select * from public.userdefinedinquiryrecipient,
userdefinedlist,0,0,public,select * from public.userdefinedlist,
userdefinedmenu,1,1,public,select * from public.userdefinedmenu,N
userdefinedmenuitem,17,6,c001,select * from c001.userdefinedmenuitem,N
userdefinedview,1,1,public,select * from public.userdefinedview,N
userform,0,0,public,select * from public.userform,
userinterfaceset,7,7,public,select * from public.userinterfaceset,N
velocitytemplate,2,2,public,select * from public.velocitytemplate,N
vendor,3028,2259,c001,select * from c001.vendor,Y
vendorcertification,0,0,public,select * from public.vendorcertification,
vendornote,0,0,public,select * from public.vendornote,
vendorpaper,0,0,public,select * from public.vendorpaper,
vendorpaperprice,0,0,public,select * from public.vendorpaperprice,
vendortype,1,2,public,select * from public.vendortype,Y
virtualprinter,0,0,public,select * from public.virtualprinter,
wipcategory,1,9,public,select * from public.wipcategory,Y
workstation,6,23,public,select * from public.workstation,Y
workstationactivitycode,60,703,public,select * from public.workstationactivitycode,N
workstationemployee,30,335,public,select * from public.workstationemployee,N
workstationinventoryitem,0,0,public,select * from public.workstationinventoryitem,
workstationnonchargeabletype,0,205,public,select * from public.workstationnonchargeabletype,
workstationnonplannedreason,0,71,public,select * from public.workstationnonplannedreason,
wrapstyle,0,0,public,select * from public.wrapstyle,
